id,university,country,city,continent,latitude,longitude,location_source
162,Chung-Ang University,South Korea,Seoul,Asia,37.532308,126.95744,CBS MoveON snapshot 2026-09-21
163,Ewha Womans University,South Korea,Seoul,Asia,37.532308,126.95744,CBS MoveON snapshot 2026-09-21
164,Korea University,South Korea,Seoul,Asia,37.532308,126.95744,CBS MoveON snapshot 2026-09-21
165,Korea University,South Korea,Seoul,Asia,37.532308,126.95744,CBS MoveON snapshot 2026-09-21
166,Yonsei University,South Korea,Seoul,Asia,37.532308,126.95744,CBS MoveON snapshot 2026-09-21
167,IE University,Spain,Madrid,Europe,40.952536,-4.117311,CBS MoveON snapshot 2026-09-21
168,Universidad Carlos III de Madrid,Spain,Madrid,Europe,40.333578,-3.766407,CBS MoveON snapshot 2026-09-21
169,Universidad CEU San Pablo,Spain,Madrid,Europe,40.442853,-3.719095,CBS MoveON snapshot 2026-09-21
170,"Universidad de Deusto, Campus Bilbao",Spain,Bilbao,Europe,43.26979,-2.931519,CBS MoveON snapshot 2026-09-21
171,"Universidad de Deusto, Campus San Sebastian",Spain,San Sebastián,Europe,43.26979,-2.931519,CBS MoveON snapshot 2026-09-21
172,Universidad de Navarra,Spain,Pamplona,Europe,42.800935,-1.65814,CBS MoveON snapshot 2026-09-21
173,Universidad Pontificia Comillas de Madrid (ICADE),Spain,Madrid,Europe,40.430095,-3.711358,CBS MoveON snapshot 2026-09-21
174,Universidad Rey Juan Carlos,Spain,Madrid,Europe,40.334719,-3.872745,CBS MoveON snapshot 2026-09-21
175,Universitat Autònoma de Barcelona (UAB),Spain,Bellaterra / Barcelona,Europe,41.386554,2.164033,CBS MoveON snapshot 2026-09-21
176,Universitat de Barcelona,Spain,Barcelona,Europe,41.504336,2.100031,CBS MoveON snapshot 2026-09-21
177,Universitat de València,Spain,Valencia,Europe,39.479301,-0.36413,CBS MoveON snapshot 2026-09-21
178,Universitat Pompeu Fabra,Spain,Barcelona,Europe,41.3833,2.1834,CBS MoveON snapshot 2026-09-21
179,Universitat Pompeu Fabra,Spain,Barcelona,Europe,41.378995,2.179152,CBS MoveON snapshot 2026-09-21
180,Universitat Ramon Llull,Spain,Sant Cugat del Vallès,Europe,41.411307,2.131272,CBS MoveON snapshot 2026-09-21
