university_id,university,city,country,sep_c,oct_c,nov_c,dec_c,sep_dec_avg_c,period,source_url,refreshed_at
128,"Tec de Monterrey, Campus Guadalajara",Guadalajara,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
129,"Tec de Monterrey, Campus Mexico City",Mexico City,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
130,"Tec de Monterrey, Campus Monterrey",Monterrey,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
131,"Tec de Monterrey, Campus Querétaro",Querétaro,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
132,"Tec de Monterrey, Campus Santa Fe",Mexico City,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
133,Al Akhawayn University,Ifrane,Morocco,,,,,,1991-2020,https://power.larc.nasa.gov/,
134,Rabat Business School,Rabat,Morocco,,,,,,1991-2020,https://power.larc.nasa.gov/,
135,Erasmus Universiteit Rotterdam,Rotterdam,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
136,Maastricht University,Maastricht,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
137,Radboud Universiteit Nijmegen,Nijmegen,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
138,Tilburg University,Tilburg,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
139,Universiteit Utrecht,Utrecht,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
140,Universiteit van Amsterdam,Amsterdam,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
141,University of Groningen,Groningen,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
142,Vrije Universiteit Amsterdam,Amsterdam,Netherlands,,,,,,1991-2020,https://power.larc.nasa.gov/,
143,Auckland University of Technology,Auckland,New Zealand,,,,,,1991-2020,https://power.larc.nasa.gov/,
144,Lincoln University,Lincoln,New Zealand,,,,,,1991-2020,https://power.larc.nasa.gov/,
145,University of Canterbury,Christchurch,New Zealand,,,,,,1991-2020,https://power.larc.nasa.gov/,
146,University of Otago,Dunedin,New Zealand,,,,,,1991-2020,https://power.larc.nasa.gov/,
147,Victoria University of Wellington,Wellington,New Zealand,,,,,,1991-2020,https://power.larc.nasa.gov/,
148,BI Norwegian Business School,Oslo,Norway,,,,,,1991-2020,https://power.larc.nasa.gov/,
149,Norwegian School of Economics,Bergen,Norway,,,,,,1991-2020,https://power.larc.nasa.gov/,
150,Universidad ESAN,Lima,Peru,,,,,,1991-2020,https://power.larc.nasa.gov/,
151,Universidad San Ignacio de Loyola (USIL),Lima,Peru,,,,,,1991-2020,https://power.larc.nasa.gov/,
152,Kozminski University,Warsaw,Poland,,,,,,1991-2020,https://power.larc.nasa.gov/,
153,ISCTE - Instituto Universitário de Lisboa,Lisbon,Portugal,,,,,,1991-2020,https://power.larc.nasa.gov/,
154,Universidade Católica Portuguesa,Lisbon,Portugal,,,,,,1991-2020,https://power.larc.nasa.gov/,
155,Universidade Católica Portuguesa,Porto,Portugal,,,,,,1991-2020,https://power.larc.nasa.gov/,
156,Universidade de Lisboa,Lisbon,Portugal,,,,,,1991-2020,https://power.larc.nasa.gov/,
157,Universidade Nova de Lisboa,Lisbon,Portugal,,,,,,1991-2020,https://power.larc.nasa.gov/,
158,Nanyang Technological University,Singapore,Singapore,,,,,,1991-2020,https://power.larc.nasa.gov/,
159,National University of Singapore,Singapore,Singapore,,,,,,1991-2020,https://power.larc.nasa.gov/,
160,Singapore Management University,Singapore,Singapore,,,,,,1991-2020,https://power.larc.nasa.gov/,
161,University of Ljubljana,Ljubljana,Slovenia,,,,,,1991-2020,https://power.larc.nasa.gov/,
162,Chung-Ang University,Seoul,South Korea,,,,,,1991-2020,https://power.larc.nasa.gov/,
163,Ewha Womans University,Seoul,South Korea,,,,,,1991-2020,https://power.larc.nasa.gov/,
164,Korea University,Seoul,South Korea,,,,,,1991-2020,https://power.larc.nasa.gov/,
165,Korea University,Seoul,South Korea,,,,,,1991-2020,https://power.larc.nasa.gov/,
166,Yonsei University,Seoul,South Korea,,,,,,1991-2020,https://power.larc.nasa.gov/,
167,IE University,Madrid,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
168,Universidad Carlos III de Madrid,Madrid,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
169,Universidad CEU San Pablo,Madrid,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
170,"Universidad de Deusto, Campus Bilbao",Bilbao,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
171,"Universidad de Deusto, Campus San Sebastian",San Sebastián,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
172,Universidad de Navarra,Pamplona,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
173,Universidad Pontificia Comillas de Madrid (ICADE),Madrid,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
174,Universidad Rey Juan Carlos,Madrid,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
175,Universitat Autònoma de Barcelona (UAB),Bellaterra / Barcelona,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
176,Universitat de Barcelona,Barcelona,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
177,Universitat de València,Valencia,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
178,Universitat Pompeu Fabra,Barcelona,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
179,Universitat Pompeu Fabra,Barcelona,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
180,Universitat Ramon Llull,Sant Cugat del Vallès,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
181,Universitat Ramon Llull,Sant Cugat del Vallès,Spain,,,,,,1991-2020,https://power.larc.nasa.gov/,
182,Lund University,Lund,Sweden,,,,,,1991-2020,https://power.larc.nasa.gov/,
183,Stockholm School of Economics,Stockholm,Sweden,,,,,,1991-2020,https://power.larc.nasa.gov/,
184,Stockholm University,Stockholm,Sweden,,,,,,1991-2020,https://power.larc.nasa.gov/,
185,University of Gothenburg,Gothenburg,Sweden,,,,,,1991-2020,https://power.larc.nasa.gov/,
186,Uppsala universitet,Uppsala,Sweden,,,,,,1991-2020,https://power.larc.nasa.gov/,
